feature_id,version,release_date,feature_name,category,group_id,subgroup_id,engineer_id,models,hardware,description,dev_start_date,feature_complete_date,release_complete_date,lifecycle_status,hw_requirement
F0001,2023.12,"April 10, 2023",Phone Call Controls,New Feature,6,602,E06,,"HW3,HW4",,2023-02-17,2023-04-02,2023-04-10,released,"HW3,HW4"
F0002,2023.12,"April 10, 2023",Text Size,New Feature,3,303,E09,,"HW3,HW4",,2023-02-24,2023-03-31,2023-04-10,released,"HW3,HW4"
F0003,2023.12,"April 10, 2023",Scroll Wheel Customization,New Feature,3,302,E04,,"HW3,HW4",,2023-02-17,2023-04-02,2023-04-10,released,"HW3,HW4"
F0004,2023.12,"April 10, 2023",Controls Search,New Feature,3,302,E04,,"HW3,HW4",,2023-02-27,2023-04-03,2023-04-10,released,"HW3,HW4"
F0005,2023.12,"April 10, 2023",Gear Chimes,New Feature,3,302,E04,,"HW3,HW4",,2023-02-24,2023-04-03,2023-04-10,released,"HW3,HW4"
F0006,2023.12,"April 10, 2023",Passenger Seat Controls,New Feature,3,302,E04,,"HW3,HW4",,2023-02-16,2023-03-28,2023-04-10,released,"HW3,HW4"
F0007,2023.12,"April 10, 2023",Points of Interest,New Feature,4,403,E05,,"HW3,HW4",,2023-02-18,2023-03-30,2023-04-10,released,"HW3,HW4"
F0008,2023.12,"April 10, 2023",Voice Recognition Language,New Feature,6,601,E06,,"HW3,HW4",,2023-02-16,2023-03-28,2023-04-10,released,"HW3,HW4"
F0009,2023.12,"April 10, 2023",Speed Assist,New Feature,1,101,E01,,"HW3,HW4",,2023-02-25,2023-03-31,2023-04-10,released,"HW3,HW4"
F0010,2023.12,"April 10, 2023",Zoom Meetings,New Feature,6,602,E06,,"HW3,HW4",,2023-02-26,2023-03-28,2023-04-10,released,"HW3,HW4"
F0011,2023.12,"April 10, 2023",Get to Know Your Tesla,New Feature,3,302,E04,,"HW3,HW4",,2023-02-14,2023-03-29,2023-04-10,released,"HW3,HW4"
F0012,2023.12,"April 10, 2023",Handwriting,New Feature,6,601,E06,,"HW3,HW4",,2023-02-15,2023-04-03,2023-04-10,released,"HW3,HW4"
F0013,2023.12,"April 10, 2023",Rename Vehicle in App,Undocumented Change,3,302,E04,,"HW3,HW4",,2023-02-13,2023-03-28,2023-04-10,released,"HW3,HW4"
F0014,2023.12,"April 10, 2023",Improvements to Automatic Emergency Braking,Undocumented Change,2,203,E03,,"HW3,HW4",,2023-02-14,2023-03-29,2023-04-10,released,"HW3,HW4"
F0015,2023.12,"April 10, 2023",Parked Visualization,Undocumented Change,3,302,E04,,"HW3,HW4",,2023-02-16,2023-04-02,2023-04-10,released,"HW3,HW4"
