version,release_date,feature_name,category,models,hardware,description
2023.12,"April 10, 2023",Phone Call Controls,New Feature,,,
2023.12,"April 10, 2023",Text Size,New Feature,,,
2023.12,"April 10, 2023",Scroll Wheel Customization,New Feature,,,
2023.12,"April 10, 2023",Controls Search,New Feature,,,
2023.12,"April 10, 2023",Gear Chimes,New Feature,,,
2023.12,"April 10, 2023",Passenger Seat Controls,New Feature,,,
2023.12,"April 10, 2023",Points of Interest,New Feature,,,
2023.12,"April 10, 2023",Voice Recognition Language,New Feature,,,
2023.12,"April 10, 2023",Speed Assist,New Feature,,,
2023.12,"April 10, 2023",Zoom Meetings,New Feature,,,
2023.12,"April 10, 2023",Get to Know Your Tesla,New Feature,,,
2023.12,"April 10, 2023",Handwriting,New Feature,,,
2023.12,"April 10, 2023",Rename Vehicle in App,Undocumented Change,,,
2023.12,"April 10, 2023",Improvements to Automatic Emergency Braking,Undocumented Change,,,
2023.12,"April 10, 2023",Parked Visualization,Undocumented Change,,,
2023.12,"April 10, 2023",Speedometer Font,Undocumented Change,,,
2023.12,"April 10, 2023",Nav Improvements,Undocumented Change,,,
2023.12,"April 10, 2023",Favoriting Songs,Undocumented Change,,,
2023.12,"April 10, 2023",Adjust Wiper Speed,Undocumented Change,,,
2023.12,"April 10, 2023",Air Suspension,Undocumented Change,,,
2023.12,"April 10, 2023",Tesla Theater Icons,Undocumented Change,,,
2023.12,"April 10, 2023",App Drawer,Undocumented Change,,,
2023.12,"April 10, 2023",New Labels,Undocumented Change,,,
2023.12,"April 10, 2023",Charging Screen,Undocumented Change,,,
2023.12.10,"May 23, 2023",Full Self-Driving (Beta),New Feature,,,
2023.12.10,"May 23, 2023",FSD Beta v11.3.6,New Feature,,,
2023.12.10,"May 23, 2023",Over-the-Air (OTA) Recall,New Feature,,,
2023.12.10,"May 23, 2023",Driving Visualization Improvements,New Feature,,,
2023.12.10,"May 23, 2023",Full Self-Driving (Beta) Suspension,New Feature,,,
2023.12.10,"May 23, 2023",Park Assist,New Feature,,,
2023.12.10,"May 23, 2023",Phone Call Controls,New Feature,,,
2023.12.10,"May 23, 2023",Text Size,New Feature,,,
2023.12.10,"May 23, 2023",Scroll Wheel Customization,New Feature,,,
2023.12.10,"May 23, 2023",Controls Search,New Feature,,,
2023.12.10,"May 23, 2023",Gear Chimes,New Feature,,,
2023.12.10,"May 23, 2023",Passenger Seat Controls,New Feature,,,
2023.12.10,"May 23, 2023",Points of Interest,New Feature,,,
2023.12.10,"May 23, 2023",Voice Recognition Language,New Feature,,,
2023.12.10,"May 23, 2023",Get to Know Your Tesla,New Feature,,,
2023.12.10,"May 23, 2023",Rename Vehicle in App,Undocumented Change,,,
2023.12.10,"May 23, 2023",Improvements to Automatic Emergency Braking,Undocumented Change,,,
2023.12.10,"May 23, 2023",Parked Visualization,Undocumented Change,,,
2023.12.10,"May 23, 2023",Speedometer Font,Undocumented Change,,,
2023.12.10,"May 23, 2023",Nav Improvements,Undocumented Change,,,
2023.12.10,"May 23, 2023",Favoriting Songs,Undocumented Change,,,
2023.12.10,"May 23, 2023",Adjust Wiper Speed,Undocumented Change,,,
2023.12.10,"May 23, 2023",Air Suspension,Undocumented Change,,,
2023.12.10,"May 23, 2023",Tesla Theater Icons,Undocumented Change,,,
2023.12.10,"May 23, 2023",App Drawer,Undocumented Change,,,
2023.12.10,"May 23, 2023",New Labels,Undocumented Change,,,
2023.12.10,"May 23, 2023",Charging Screen,Undocumented Change,,,
2023.12.8,"May 5, 2023",Refresh Your Data Sharing Settings,New Feature,,,
2023.12.8,"May 5, 2023",Regenerative Braking,New Feature,,,
2023.12.8,"May 5, 2023",Power Meter,New Feature,,,
2023.12.8,"May 5, 2023",Track Mode,New Feature,,,
2023.12.8,"May 5, 2023",Phone Call Controls,New Feature,,,
2023.12.8,"May 5, 2023",Text Size,New Feature,,,
2023.12.8,"May 5, 2023",Scroll Wheel Customization,New Feature,,,
2023.12.8,"May 5, 2023",Controls Search,New Feature,,,
2023.12.8,"May 5, 2023",Gear Chimes,New Feature,,,
2023.12.8,"May 5, 2023",Passenger Seat Controls,New Feature,,,
2023.12.8,"May 5, 2023",Points of Interest,New Feature,,,
2023.12.8,"May 5, 2023",Voice Recognition Language,New Feature,,,
2023.12.8,"May 5, 2023",Speed Assist,New Feature,,,
2023.12.8,"May 5, 2023",Zoom Meetings,New Feature,,,
2023.12.8,"May 5, 2023",Get to Know Your Tesla,New Feature,,,
2023.12.8,"May 5, 2023",Handwriting,New Feature,,,
2023.12.8,"May 5, 2023",Rename Vehicle in App,Undocumented Change,,,
2023.12.8,"May 5, 2023",Improvements to Automatic Emergency Braking,Undocumented Change,,,
2023.12.8,"May 5, 2023",Parked Visualization,Undocumented Change,,,
2023.12.8,"May 5, 2023",Speedometer Font,Undocumented Change,,,
2023.12.8,"May 5, 2023",Nav Improvements,Undocumented Change,,,
2023.12.8,"May 5, 2023",Favoriting Songs,Undocumented Change,,,
2023.12.8,"May 5, 2023",Adjust Wiper Speed,Undocumented Change,,,
2023.12.8,"May 5, 2023",Air Suspension,Undocumented Change,,,
2023.12.8,"May 5, 2023",Tesla Theater Icons,Undocumented Change,,,
2023.12.8,"May 5, 2023",App Drawer,Undocumented Change,,,
2023.12.8,"May 5, 2023",New Labels,Undocumented Change,,,
2023.12.8,"May 5, 2023",Charging Screen,Undocumented Change,,,
2023.12.9,"May 12, 2023",Autopilot Features,New Feature,,,
2023.12.9,"May 12, 2023",Stopping Mode,New Feature,,,
2023.12.9,"May 12, 2023",Refresh Your Data Sharing Settings,New Feature,,,
2023.12.9,"May 12, 2023",Regenerative Braking,New Feature,,,
2023.12.9,"May 12, 2023",Power Meter,New Feature,,,
2023.12.9,"May 12, 2023",Track Mode,New Feature,,,
2023.12.9,"May 12, 2023",Phone Call Controls,New Feature,,,
2023.12.9,"May 12, 2023",Text Size,New Feature,,,
2023.12.9,"May 12, 2023",Scroll Wheel Customization,New Feature,,,
2023.12.9,"May 12, 2023",Controls Search,New Feature,,,
2023.12.9,"May 12, 2023",Gear Chimes,New Feature,,,
2023.12.9,"May 12, 2023",Passenger Seat Controls,New Feature,,,
2023.12.9,"May 12, 2023",Points of Interest,New Feature,,,
2023.12.9,"May 12, 2023",Voice Recognition Language,New Feature,,,
2023.12.9,"May 12, 2023",Speed Assist,New Feature,,,
2023.12.9,"May 12, 2023",Zoom Meetings,New Feature,,,
2023.12.9,"May 12, 2023",Get to Know Your Tesla,New Feature,,,
2023.12.9,"May 12, 2023",Handwriting,New Feature,,,
2023.12.9,"May 12, 2023",Rename Vehicle in App,Undocumented Change,,,
2023.12.9,"May 12, 2023",Improvements to Automatic Emergency Braking,Undocumented Change,,,
2023.12.9,"May 12, 2023",Parked Visualization,Undocumented Change,,,
2023.12.9,"May 12, 2023",Speedometer Font,Undocumented Change,,,
2023.12.9,"May 12, 2023",Nav Improvements,Undocumented Change,,,
2023.12.9,"May 12, 2023",Favoriting Songs,Undocumented Change,,,
2023.12.9,"May 12, 2023",Adjust Wiper Speed,Undocumented Change,,,
2023.12.9,"May 12, 2023",Air Suspension,Undocumented Change,,,
2023.12.9,"May 12, 2023",Tesla Theater Icons,Undocumented Change,,,
2023.12.9,"May 12, 2023",App Drawer,Undocumented Change,,,
2023.12.9,"May 12, 2023",New Labels,Undocumented Change,,,
2023.12.9,"May 12, 2023",Charging Screen,Undocumented Change,,,
2023.2.0.5,"January 25, 2023",Auto Steering Wheel Heat,New Feature,,,
2023.2.0.5,"January 25, 2023",Sentry Mode Lighting,New Feature,,,
2023.2.0.5,"January 25, 2023",Speed Assist,New Feature,,,
2023.2.0.5,"January 25, 2023",Thai Voice Navigation,New Feature,,,
2023.2.0.5,"January 25, 2023",Handwriting Keyboard,New Feature,,,
2023.2.0.5,"January 25, 2023",WeChat Mini Programs,New Feature,,,
2023.2.0.5,"January 25, 2023",Mango TV,New Feature,,,
2023.2.0.5,"January 25, 2023",Improvements to Service Mode,Undocumented Change,,,
2023.2.0.5,"January 25, 2023",Supercharger Prices,Undocumented Change,,,
2023.2.0.5,"January 25, 2023",View Cabin Camera,Undocumented Change,,,
2023.2.0.5,"January 25, 2023",Seat Heater Icons,Undocumented Change,,,
2023.2.0.5,"January 25, 2023",Suspension Menu,Undocumented Change,,,
2023.2.10,"January 28, 2023",Auto Steering Wheel Heat,New Feature,,,
2023.2.10,"January 28, 2023",Sentry Mode Lighting,New Feature,,,
2023.2.10,"January 28, 2023",Speed Assist,New Feature,,,
2023.2.10,"January 28, 2023",Mahjong,New Feature,,,
2023.2.10,"January 28, 2023",Thai Voice Navigation,New Feature,,,
2023.2.10,"January 28, 2023",Handwriting Keyboard,New Feature,,,
2023.2.10,"January 28, 2023",WeChat Mini Programs,New Feature,,,
2023.2.10,"January 28, 2023",Mango TV,New Feature,,,
2023.2.10,"January 28, 2023",Improvements to Service Mode,Undocumented Change,,,
2023.2.10,"January 28, 2023",Supercharger Prices,Undocumented Change,,,
2023.2.10,"January 28, 2023",View Cabin Camera,Undocumented Change,,,
2023.2.10,"January 28, 2023",Seat Heater Icons,Undocumented Change,,,
2023.2.10,"January 28, 2023",Suspension Menu,Undocumented Change,,,
2023.20,"May 26, 2023",Text Size,New Feature,,,
2023.20,"May 26, 2023",Tire Service Mileage,New Feature,,,
2023.20,"May 26, 2023",Windshield Wiper Control,Undocumented Change,,,
2023.20,"May 26, 2023",Phone Key,Undocumented Change,,,
2023.20,"May 26, 2023",New Data Sharing Policy,Undocumented Change,,,
2023.20.4.1,"June 9, 2023",Tire Service,New Feature,,,
2023.20.4.1,"June 9, 2023",Tire Service Mileage,New Feature,,,
2023.20.4.1,"June 9, 2023",Text Size,New Feature,,,
2023.20.4.1,"June 9, 2023",Pinyin Keyboard,New Feature,,,
2023.20.4.1,"June 9, 2023",Windshield Wiper Control,Undocumented Change,,,
2023.20.4.1,"June 9, 2023",Phone Key,Undocumented Change,,,
2023.20.4.1,"June 9, 2023",New Data Sharing Policy,Undocumented Change,,,
2023.20.4.1,"June 9, 2023",Navigation Improvements,Undocumented Change,,,
2023.20.4.1,"June 9, 2023",Set PIN to Drive,Undocumented Change,,,
2023.20.4.1,"June 9, 2023",View All Cameras,Undocumented Change,,,
2023.20.4.1,"June 9, 2023",Current Trip Odometer,Undocumented Change,,,
2023.20.4.1,"June 9, 2023",Passenger Climate Temperature,Undocumented Change,,,
2023.20.4.1,"June 9, 2023",FSD Beta?,Undocumented Change,,,
2023.20.6,"June 23, 2023",Full Self-Driving (Beta),New Feature,,,
2023.20.6,"June 23, 2023",FSD Beta v11.3.6,New Feature,,,
2023.20.6,"June 23, 2023",Full Self-Driving (Beta) Suspension,New Feature,,,
2023.20.6,"June 23, 2023",Tire Service,New Feature,,,
2023.20.6,"June 23, 2023",Tire Service Mileage,New Feature,,,
2023.20.6,"June 23, 2023",Text Size,New Feature,,,
2023.20.6,"June 23, 2023",Pinyin Keyboard,New Feature,,,
2023.20.6,"June 23, 2023",Windshield Wiper Control,Undocumented Change,,,
2023.20.6,"June 23, 2023",Phone Key,Undocumented Change,,,
2023.20.6,"June 23, 2023",New Data Sharing Policy,Undocumented Change,,,
2023.20.6,"June 23, 2023",Navigation Improvements,Undocumented Change,,,
2023.20.6,"June 23, 2023",Set PIN to Drive,Undocumented Change,,,
2023.20.6,"June 23, 2023",View All Cameras,Undocumented Change,,,
2023.20.6,"June 23, 2023",Current Trip Odometer,Undocumented Change,,,
2023.20.6,"June 23, 2023",Passenger Climate Temperature,Undocumented Change,,,
2023.26,"July 1, 2023",Blind Spot Camera,New Feature,,,
2023.26,"July 1, 2023",Customize the Scroll Wheel,New Feature,,,
2023.26,"July 1, 2023",Destination Closing Soon,New Feature,,,
2023.26,"July 1, 2023",Spotify Refresh,New Feature,,,
2023.26,"July 1, 2023",Bluetooth Game Controllers,New Feature,,,
2023.26,"July 1, 2023",Warmer Display Colors,New Feature,,,
2023.26,"July 1, 2023",Automatic Headlights,New Feature,,,
2023.26,"July 1, 2023",Charge On Solar,New Feature,,,
2023.26,"July 1, 2023",Camera View on Tesla App,New Feature,,,
2023.26,"July 1, 2023",Vampire Survivors Game,New Feature,,,
2023.26,"July 1, 2023",Other Updates,New Feature,,,
2023.26,"July 1, 2023",Improved Phone Calls,Undocumented Change,,,
