version,release_date,fsd_version,feature_count,url
2023.12,"April 10, 2023",,24,https://www.notateslaapp.com/software-updates/version/2023.12/release-notes
2023.12.10,"May 23, 2023",FSD 11.3.6,27,https://www.notateslaapp.com/software-updates/version/2023.12.10/release-notes
2023.12.8,"May 5, 2023",,28,https://www.notateslaapp.com/software-updates/version/2023.12.8/release-notes
2023.12.9,"May 12, 2023",,30,https://www.notateslaapp.com/software-updates/version/2023.12.9/release-notes
2023.2.0.5,"January 25, 2023",,12,https://www.notateslaapp.com/software-updates/version/2023.2.0.5/release-notes
2023.2.10,"January 28, 2023",,13,https://www.notateslaapp.com/software-updates/version/2023.2.10/release-notes
2023.20,"May 26, 2023",,5,https://www.notateslaapp.com/software-updates/version/2023.20/release-notes
2023.20.4.1,"June 9, 2023",,13,https://www.notateslaapp.com/software-updates/version/2023.20.4.1/release-notes
2023.20.6,"June 23, 2023",FSD 11.3.6,15,https://www.notateslaapp.com/software-updates/version/2023.20.6/release-notes
2023.26,"July 1, 2023",FSD 11.3.6,18,https://www.notateslaapp.com/software-updates/version/2023.26/release-notes
2023.26.10,"August 23, 2023",FSD 11.4.4,23,https://www.notateslaapp.com/software-updates/version/2023.26.10/release-notes
2023.31.600,"October 27, 2023",,2,https://www.notateslaapp.com/software-updates/version/2023.31.600/release-notes
2023.32,"August 27, 2023",,8,https://www.notateslaapp.com/software-updates/version/2023.32/release-notes
2023.32.4,"September 11, 2023",FSD 11.4.4,9,https://www.notateslaapp.com/software-updates/version/2023.32.4/release-notes
2023.38,"October 3, 2023",FSD 11.4.4,7,https://www.notateslaapp.com/software-updates/version/2023.38/release-notes
2023.38.8,"November 12, 2023",FSD 11.4.4,9,https://www.notateslaapp.com/software-updates/version/2023.38.8/release-notes
2023.44,"November 17, 2023",FSD 11.4.4,8,https://www.notateslaapp.com/software-updates/version/2023.44/release-notes
2023.44.25,"December 6, 2023",,31,https://www.notateslaapp.com/software-updates/version/2023.44.25/release-notes
2023.44.30.10,"December 24, 2023",FSD 12.1,1,https://www.notateslaapp.com/software-updates/version/2023.44.30.10/release-notes
2023.44.30.11,"January 12, 2024",FSD 12.1.1,1,https://www.notateslaapp.com/software-updates/version/2023.44.30.11/release-notes
2023.44.30.12,"January 21, 2024",FSD 12.1.2,2,https://www.notateslaapp.com/software-updates/version/2023.44.30.12/release-notes
2023.44.30.15,"February 9, 2024",FSD 12.2,3,https://www.notateslaapp.com/software-updates/version/2023.44.30.15/release-notes
2023.44.30.20,"February 18, 2024",FSD 12.2.1,5,https://www.notateslaapp.com/software-updates/version/2023.44.30.20/release-notes
2023.44.30.25,"March 12, 2024",FSD 12.3,4,https://www.notateslaapp.com/software-updates/version/2023.44.30.25/release-notes
2023.44.30.30,"March 24, 2024",FSD 12.3.1,5,https://www.notateslaapp.com/software-updates/version/2023.44.30.30/release-notes
2023.6.1,"March 3, 2023",,15,https://www.notateslaapp.com/software-updates/version/2023.6.1/release-notes
2023.6.100.1,"April 24, 2023",,3,https://www.notateslaapp.com/software-updates/version/2023.6.100.1/release-notes
